num;label
60289;Sliding Two Fingers Down
55450;Zooming Out With Two Fingers
123453;Sliding Two Fingers Left
22189;Sliding Two Fingers Up
84437;Sliding Two Fingers Left
53151;Thumb Up
91419;Sliding Two Fingers Down
111679;Swiping Right
66147;Thumb Up
68933;Stop Sign
24918;Thumb Down
59226;Zooming In With Two Fingers
135294;Swiping Right
97230;Thumb Down
16198;Swiping Right
136270;Drumming Fingers
60953;Sliding Two Fingers Up
103305;Swiping Right
98918;Drumming Fingers
72295;Sliding Two Fingers Up
32596;Thumb Down
3527;Sliding Two Fingers Up
105706;Sliding Two Fingers Right
101807;Stop Sign
145771;Swiping Right
86146;Thumb Down
835;Sliding Two Fingers Right
22459;Thumb Up
110056;Zooming In With Two Fingers
144993;No gesture
57662;Swiping Up
3050;Zooming In With Two Fingers
60958;Zooming Out With Two Fingers
17752;Thumb Down
112490;Zooming In With Two Fingers
143389;Sliding Two Fingers Up
3578;Swiping Up
25107;Sliding Two Fingers Right
30433;Zooming Out With Two Fingers
101212;Sliding Two Fingers Right
22724;No gesture
113830;Thumb Down
36544;Zooming Out With Two Fingers
100498;Zooming In With Two Fingers
61318;Sliding Two Fingers Right
117118;Sliding Two Fingers Up
130343;Zooming In With Two Fingers
60762;Thumb Down
53895;Sliding Two Fingers Left
176;Sliding Two Fingers Left
48306;Thumb Up
24652;Sliding Two Fingers Right
102451;Thumb Up
36169;Thumb Up
25315;Zooming In With Two Fingers
18931;Thumb Up
22184;Thumb Down
42054;Swiping Down
89831;Zooming In With Two Fingers
112036;Thumb Down
32754;Swiping Down
70657;Sliding Two Fingers Left
47845;Sliding Two Fingers Down
84349;Sliding Two Fingers Down
12877;Swiping Up
47086;Thumb Up
115360;Sliding Two Fingers Up
132650;Thumb Up
44405;Zooming Out With Two Fingers
62890;Sliding Two Fingers Up
124258;Drumming Fingers
34811;Drumming Fingers
2340;Stop Sign
41841;Swiping Down
121718;Thumb Down
95871;Stop Sign
102412;Drumming Fingers
75466;Stop Sign
15248;Drumming Fingers
89031;Zooming In With Two Fingers
3720;Sliding Two Fingers Left
97683;Swiping Up
25100;Thumb Up
53945;Sliding Two Fingers Left
127843;Swiping Down
49469;Swiping Up
21598;Swiping Up
109777;Zooming Out With Two Fingers
130832;Zooming In With Two Fingers
11217;Sliding Two Fingers Up
34592;Sliding Two Fingers Right
125940;Thumb Up
876;Stop Sign
47572;No gesture
2912;Zooming Out With Two Fingers
63130;Thumb Down
78641;Drumming Fingers
121154;Swiping Down
33366;Thumb Down
130848;No gesture
10185;Thumb Up
147247;Zooming In With Two Fingers
25505;Swiping Up
25977;Drumming Fingers
139405;Stop Sign
86811;Zooming Out With Two Fingers
8671;Swiping Up
91312;Swiping Down
14299;No gesture
100039;Sliding Two Fingers Right
17617;Zooming In With Two Fingers
92517;Sliding Two Fingers Left
131313;Swiping Right
114470;Swiping Down
77631;Stop Sign
7170;Thumb Down
80148;Swiping Right
113916;Sliding Two Fingers Left
47344;Thumb Up
140869;Sliding Two Fingers Right
7050;Zooming Out With Two Fingers
10598;Drumming Fingers
117454;No gesture
25912;Sliding Two Fingers Up
70911;Stop Sign
64275;Swiping Up
87425;Drumming Fingers
81824;No gesture
34158;Sliding Two Fingers Left
97762;Thumb Down
84426;Swiping Down
132729;Sliding Two Fingers Up
141488;Sliding Two Fingers Up
26362;Zooming In With Two Fingers
41450;Stop Sign
108586;Zooming Out With Two Fingers
53217;Sliding Two Fingers Up
97089;Sliding Two Fingers Down
26281;Drumming Fingers
112475;Thumb Up
124251;Drumming Fingers
35445;Zooming In With Two Fingers
64346;Zooming In With Two Fingers
79836;Sliding Two Fingers Down
84764;Swiping Right
123598;Zooming Out With Two Fingers
105614;Sliding Two Fingers Up
1393;No gesture
139553;Zooming In With Two Fingers
75476;Sliding Two Fingers Down
126086;Thumb Down
20963;Zooming Out With Two Fingers
85850;Sliding Two Fingers Right
31738;Swiping Right
114473;Sliding Two Fingers Down
141072;Sliding Two Fingers Down
99763;Drumming Fingers
129092;Sliding Two Fingers Down
47219;Zooming In With Two Fingers
33934;Sliding Two Fingers Down
35970;Sliding Two Fingers Down
128353;Thumb Up
77675;Sliding Two Fingers Up
16367;Zooming In With Two Fingers
14959;Sliding Two Fingers Right
96542;Thumb Down
27945;Swiping Right
114317;Drumming Fingers
18229;Thumb Down
42233;Sliding Two Fingers Right
78722;Sliding Two Fingers Up
114126;Stop Sign
19105;Thumb Up
105716;Swiping Down
91465;Swiping Right
80302;Zooming Out With Two Fingers
94634;Stop Sign
82435;Thumb Up
39817;Swiping Up
102779;Sliding Two Fingers Right
96853;Drumming Fingers
14436;Sliding Two Fingers Up
145167;Drumming Fingers
35235;Sliding Two Fingers Right
29430;Zooming Out With Two Fingers
136169;Swiping Down
95389;Drumming Fingers
33765;Sliding Two Fingers Down
118486;Sliding Two Fingers Down
20597;Swiping Right
92812;Sliding Two Fingers Down
37976;Zooming In With Two Fingers
61914;Sliding Two Fingers Up
112499;Thumb Up
118724;Sliding Two Fingers Down
143053;Thumb Up
116967;Sliding Two Fingers Right
102426;Sliding Two Fingers Left
20768;No gesture
96069;Sliding Two Fingers Up
46542;Zooming Out With Two Fingers
50265;Swiping Right
1771;Sliding Two Fingers Up
25820;Thumb Down
95462;Thumb Up
12937;Swiping Up
25465;Sliding Two Fingers Up
6856;Sliding Two Fingers Left
87883;Drumming Fingers
56376;Stop Sign
14289;Sliding Two Fingers Left
122196;Sliding Two Fingers Right
5684;Swiping Down
57259;Swiping Up
141531;Sliding Two Fingers Up
128004;No gesture
49247;Sliding Two Fingers Up
40717;Stop Sign
21564;Sliding Two Fingers Left
105451;Thumb Down
57946;Stop Sign
65988;Drumming Fingers
111293;Thumb Down
68129;Sliding Two Fingers Up
69894;Swiping Right
58522;Sliding Two Fingers Left
10082;Swiping Up
108595;Thumb Up
67530;Stop Sign
63180;Drumming Fingers
97888;Zooming Out With Two Fingers
74775;No gesture
41944;Zooming Out With Two Fingers
145406;Zooming Out With Two Fingers
106490;Thumb Up
91524;Stop Sign
62994;Sliding Two Fingers Left
8591;Sliding Two Fingers Left
72465;Swiping Right
57730;Sliding Two Fingers Down
62813;Zooming In With Two Fingers
128609;Swiping Up
126435;Zooming Out With Two Fingers
26042;Zooming Out With Two Fingers
122157;Swiping Down
58382;Swiping Right
69754;Sliding Two Fingers Up
61068;Thumb Up
112539;No gesture
141002;Thumb Up
65787;Sliding Two Fingers Up
2161;Swiping Up
140156;Drumming Fingers
38811;Swiping Down
145958;Zooming In With Two Fingers
104774;No gesture
1138;Sliding Two Fingers Up
47158;Sliding Two Fingers Down
39229;Swiping Down
80494;No gesture
132368;Swiping Up
94413;Zooming Out With Two Fingers
119600;Zooming In With Two Fingers
84618;Swiping Up
32730;Zooming In With Two Fingers
66114;Zooming Out With Two Fingers
55871;Sliding Two Fingers Left
138437;Swiping Down
13359;Thumb Up
5818;Stop Sign
55315;No gesture
121534;Sliding Two Fingers Right
79837;Sliding Two Fingers Down
33828;Zooming In With Two Fingers
37748;Sliding Two Fingers Up
120782;Stop Sign
40001;Sliding Two Fingers Down
114451;No gesture
115640;Sliding Two Fingers Down
38949;Swiping Right
34529;Thumb Down
88668;Sliding Two Fingers Up
49399;No gesture
129938;Drumming Fingers
146414;Sliding Two Fingers Left
31158;Sliding Two Fingers Up
80454;Sliding Two Fingers Left
70722;Swiping Down
76795;Swiping Down
142366;Sliding Two Fingers Down
142561;Thumb Up
25144;No gesture
80103;Thumb Up
70759;Zooming In With Two Fingers
57464;Zooming Out With Two Fingers
146803;Sliding Two Fingers Up
137582;Swiping Right
8018;Sliding Two Fingers Up
114335;Zooming Out With Two Fingers
33658;No gesture
83215;Sliding Two Fingers Right
72521;Sliding Two Fingers Left
19982;Drumming Fingers
27593;Swiping Right
106386;Drumming Fingers
22313;Sliding Two Fingers Right
2923;No gesture
4093;Swiping Up
146317;Swiping Right
17422;Sliding Two Fingers Left
67115;Stop Sign
141612;Sliding Two Fingers Up
98292;Drumming Fingers
14674;Swiping Right
71146;Swiping Up
29401;Sliding Two Fingers Down
10419;Drumming Fingers
1657;Stop Sign
100596;Drumming Fingers
136046;Swiping Up
73344;Sliding Two Fingers Left
100606;Sliding Two Fingers Right
67303;Stop Sign
50298;Sliding Two Fingers Left
145195;Thumb Up
108421;Thumb Down
116406;Thumb Down
135948;Drumming Fingers
106087;Sliding Two Fingers Right
80145;Thumb Up
146855;No gesture
1557;Sliding Two Fingers Left
122433;Zooming Out With Two Fingers
119824;Zooming In With Two Fingers
123689;Sliding Two Fingers Up
54964;Thumb Down
42484;Swiping Down
16764;No gesture
146228;No gesture
119370;Swiping Right
61814;Swiping Right
56251;Zooming Out With Two Fingers
21160;Swiping Down
43852;No gesture
10083;Zooming Out With Two Fingers
55250;Sliding Two Fingers Up
126184;Sliding Two Fingers Left
30081;Sliding Two Fingers Left
120138;Swiping Right
46463;Swiping Up
60203;Sliding Two Fingers Left
13154;Zooming Out With Two Fingers
109081;Thumb Down
75342;Sliding Two Fingers Up
5479;Sliding Two Fingers Left
123835;Drumming Fingers
25272;Swiping Up
93443;Sliding Two Fingers Left
27115;Swiping Right
59772;Sliding Two Fingers Up
112241;Sliding Two Fingers Right
39584;Swiping Down
134464;Swiping Right
41789;Sliding Two Fingers Right
24925;Sliding Two Fingers Up
102132;Thumb Down
34438;Sliding Two Fingers Left
107908;No gesture
7888;No gesture
47525;Sliding Two Fingers Up
108604;No gesture
38290;Thumb Down
105684;Sliding Two Fingers Down
28784;Sliding Two Fingers Down
132131;Swiping Right
88841;Stop Sign
123228;No gesture
102232;Thumb Down
44988;Zooming In With Two Fingers
27180;Sliding Two Fingers Up
95179;Thumb Down
108013;Sliding Two Fingers Right
121003;Swiping Down
17879;Swiping Right
6374;Sliding Two Fingers Right
131591;Drumming Fingers
81072;Drumming Fingers
141120;Swiping Right
65885;Zooming In With Two Fingers
146355;Sliding Two Fingers Right
85437;Swiping Down
64355;Thumb Up
126750;Swiping Down
25738;Sliding Two Fingers Down
28624;Thumb Down
31044;Thumb Up
13785;Drumming Fingers
90092;Zooming Out With Two Fingers
99901;No gesture
2925;Thumb Down
61288;Sliding Two Fingers Left
58915;No gesture
113120;Swiping Up
70376;Drumming Fingers
112376;Drumming Fingers
46746;Sliding Two Fingers Down
75935;No gesture
85551;Thumb Up
112877;No gesture
81785;Swiping Up
64428;Stop Sign
45501;Thumb Down
141820;Zooming In With Two Fingers
119975;Zooming In With Two Fingers
11762;Zooming In With Two Fingers
39776;Swiping Right
5751;Zooming Out With Two Fingers
12187;Zooming In With Two Fingers
64929;Thumb Down
72894;Zooming Out With Two Fingers
63699;Sliding Two Fingers Left
111459;Stop Sign
70414;Sliding Two Fingers Up
23099;Swiping Down
17726;Swiping Down
2466;Swiping Up
127323;Swiping Right
81827;Drumming Fingers
124939;Swiping Up
74703;Thumb Down
546;Drumming Fingers
132944;No gesture
128243;Drumming Fingers
105074;Thumb Down
18605;Thumb Down
50587;Stop Sign
73552;Sliding Two Fingers Up
74727;Swiping Up
56813;Sliding Two Fingers Up
40860;Swiping Up
67201;Zooming In With Two Fingers
114141;Sliding Two Fingers Left
140478;Thumb Down
103552;Swiping Right
129326;Sliding Two Fingers Right
115808;Zooming In With Two Fingers
127928;Stop Sign
123467;Zooming Out With Two Fingers
130005;Stop Sign
47095;Swiping Down
98162;Zooming Out With Two Fingers
27759;Sliding Two Fingers Left
110146;Sliding Two Fingers Down
641;Stop Sign
11119;Swiping Up
148074;Drumming Fingers
17177;Swiping Up
66755;Zooming Out With Two Fingers
129551;Thumb Up
61779;Drumming Fingers
18761;Sliding Two Fingers Left
30152;Sliding Two Fingers Right
29331;Zooming Out With Two Fingers
639;Zooming Out With Two Fingers
1048;Zooming Out With Two Fingers
24056;Zooming Out With Two Fingers
21651;No gesture
41599;Zooming Out With Two Fingers
100734;Drumming Fingers
116755;No gesture
115513;Swiping Up
70255;No gesture
83196;No gesture
128898;Zooming Out With Two Fingers
14143;Zooming In With Two Fingers
59627;Swiping Down
44072;Drumming Fingers
15425;Thumb Down
79306;Zooming In With Two Fingers
118025;Thumb Down
53335;Stop Sign
30677;No gesture
53955;Swiping Down
143634;Swiping Right
92906;Drumming Fingers
80704;Thumb Up
69661;Thumb Down
9099;Zooming In With Two Fingers
146147;Thumb Up
111528;Swiping Down
88183;No gesture
116423;Thumb Down
123281;Thumb Down
16518;Stop Sign
65556;Zooming In With Two Fingers
5895;Stop Sign
101560;Zooming Out With Two Fingers
111059;Thumb Down
90218;Sliding Two Fingers Right
34773;Zooming Out With Two Fingers
3893;Thumb Up
77535;Swiping Up
35110;Sliding Two Fingers Down
12736;Drumming Fingers
17069;Drumming Fingers
71037;Zooming In With Two Fingers
9255;Sliding Two Fingers Left
94806;Stop Sign
14205;Zooming In With Two Fingers
124730;Swiping Right
110196;No gesture
127999;Drumming Fingers
42801;Sliding Two Fingers Right
63710;Zooming Out With Two Fingers
144566;Sliding Two Fingers Up
105432;Sliding Two Fingers Up
95498;Sliding Two Fingers Down
15885;Swiping Right
88275;Zooming In With Two Fingers
15777;Stop Sign
105217;Thumb Down
125686;Sliding Two Fingers Up
35946;Drumming Fingers
137079;Thumb Up
91661;Stop Sign
74989;Drumming Fingers
88261;Sliding Two Fingers Left
64309;Swiping Right
84926;Sliding Two Fingers Down
79422;Swiping Up
99523;Swiping Right
44725;Thumb Up
131773;Sliding Two Fingers Down
16102;Zooming Out With Two Fingers
98681;Swiping Up
57729;Sliding Two Fingers Left
11950;Zooming In With Two Fingers
11245;No gesture
132812;Zooming Out With Two Fingers
95506;Sliding Two Fingers Down
26516;Drumming Fingers
128640;Drumming Fingers
70987;Sliding Two Fingers Right
32644;Sliding Two Fingers Down
65381;Zooming In With Two Fingers
141502;Zooming Out With Two Fingers
134443;Sliding Two Fingers Up
147726;Zooming Out With Two Fingers
15452;Thumb Down
79589;Sliding Two Fingers Up
41962;Swiping Up
122779;Sliding Two Fingers Down
70810;No gesture
115317;Swiping Up
42562;Sliding Two Fingers Left
66574;Zooming Out With Two Fingers
83884;Zooming In With Two Fingers
49241;Sliding Two Fingers Right
9316;Zooming In With Two Fingers
109709;Thumb Down
133538;Stop Sign
84909;Swiping Right
15549;Zooming Out With Two Fingers
91298;Zooming In With Two Fingers
28689;Swiping Right
41712;No gesture
98569;Sliding Two Fingers Up
22596;No gesture
32481;Sliding Two Fingers Left
49856;Swiping Down
53367;Zooming Out With Two Fingers
55678;Sliding Two Fingers Right
103328;Zooming Out With Two Fingers
43277;Sliding Two Fingers Up
19944;Zooming In With Two Fingers
73410;Sliding Two Fingers Up
84500;Thumb Down
53636;Sliding Two Fingers Right
29411;Swiping Down
47595;Zooming Out With Two Fingers
33125;Sliding Two Fingers Up
67881;Stop Sign
66327;Sliding Two Fingers Right
39123;Swiping Up
95980;No gesture
132137;Drumming Fingers
46415;Sliding Two Fingers Down
85053;Swiping Down
108562;Sliding Two Fingers Down
94269;Zooming In With Two Fingers
41111;Thumb Up
116710;Zooming In With Two Fingers
46794;Drumming Fingers
128711;Thumb Down
40436;Stop Sign
292;Zooming Out With Two Fingers
89893;Sliding Two Fingers Left
105765;Sliding Two Fingers Up
134446;Stop Sign
43311;Thumb Down
36968;Sliding Two Fingers Left
73182;Drumming Fingers
128383;Thumb Down
131247;Thumb Down
26742;Swiping Down
78119;Sliding Two Fingers Up
116749;Thumb Down
3888;Sliding Two Fingers Left
115455;Sliding Two Fingers Up
137822;Swiping Down
39779;Swiping Right
69782;Sliding Two Fingers Right
112887;Stop Sign
102688;Thumb Down
9028;Swiping Right
130015;Swiping Right
89023;Thumb Up
77795;Zooming In With Two Fingers
48591;Drumming Fingers
74543;No gesture
125621;Sliding Two Fingers Right
45368;Zooming Out With Two Fingers
45817;Swiping Up
20094;Sliding Two Fingers Right
21589;Swiping Up
13676;Thumb Down
46959;Thumb Up
124076;Swiping Up
73240;No gesture
12100;Thumb Up
30808;Sliding Two Fingers Up
80625;Thumb Down
74155;Sliding Two Fingers Up
99853;Swiping Right
126009;Stop Sign
51241;Swiping Right
79576;Sliding Two Fingers Left
4946;Sliding Two Fingers Down
45202;Sliding Two Fingers Down
131724;Swiping Right
41178;Sliding Two Fingers Up
70957;Sliding Two Fingers Left
70079;Zooming Out With Two Fingers
15899;Drumming Fingers
43619;Thumb Down
80205;Stop Sign
4158;Thumb Up
126394;Thumb Up
102236;Sliding Two Fingers Down
137225;Zooming Out With Two Fingers
16795;Sliding Two Fingers Up
642;Zooming Out With Two Fingers
53154;Zooming Out With Two Fingers
123685;Drumming Fingers
88341;No gesture
96929;Sliding Two Fingers Right
13605;Sliding Two Fingers Left
16424;Sliding Two Fingers Left
10374;Sliding Two Fingers Right
33431;Swiping Down
60520;Zooming Out With Two Fingers
116529;Swiping Down
20617;Sliding Two Fingers Down
56854;Thumb Up
28188;Thumb Down
67663;Sliding Two Fingers Right
136150;Swiping Down
42272;Zooming In With Two Fingers
79403;Swiping Down
34741;Swiping Right
110115;Sliding Two Fingers Down
75934;Swiping Down
39387;Stop Sign
100783;Thumb Down
21514;No gesture
125637;Stop Sign
120299;Stop Sign
132499;Thumb Down
118873;Stop Sign
110279;No gesture
82106;Thumb Up
66621;Sliding Two Fingers Down
2865;Drumming Fingers
91304;Swiping Up
1050;Swiping Right
59926;Thumb Down
67258;Thumb Up
118989;Stop Sign
133606;Thumb Up
142611;Sliding Two Fingers Right
19572;Sliding Two Fingers Down
1465;Sliding Two Fingers Up
97793;Sliding Two Fingers Right
67561;Sliding Two Fingers Left
13702;Zooming In With Two Fingers
132195;Sliding Two Fingers Up
127865;No gesture
95515;Drumming Fingers
819;Sliding Two Fingers Up
29827;Sliding Two Fingers Up
58969;Thumb Up
81363;Sliding Two Fingers Down
96591;Sliding Two Fingers Up
80122;Sliding Two Fingers Down
1762;Sliding Two Fingers Right
105702;No gesture
3767;Sliding Two Fingers Down
3653;Thumb Up
134073;Thumb Down
143864;Zooming Out With Two Fingers
60730;Thumb Up
143336;Sliding Two Fingers Up
119798;Sliding Two Fingers Down
111620;Sliding Two Fingers Down
46147;Zooming Out With Two Fingers
87637;Drumming Fingers
18414;Sliding Two Fingers Up
20203;Sliding Two Fingers Right
147445;Swiping Right
12871;Stop Sign
54923;Swiping Right
39486;Sliding Two Fingers Up
90451;Sliding Two Fingers Down
6130;Thumb Down
1928;Thumb Down
50445;Swiping Up
123001;Swiping Up
121185;Sliding Two Fingers Up
103466;Zooming Out With Two Fingers
20951;Sliding Two Fingers Left
57882;Sliding Two Fingers Right
49719;Zooming In With Two Fingers
36426;Thumb Up
37208;Stop Sign
63220;Thumb Up
40192;Thumb Down
21906;Zooming Out With Two Fingers
64783;Sliding Two Fingers Right
4108;Drumming Fingers
103716;Drumming Fingers
114287;Sliding Two Fingers Left
122776;Swiping Right
8202;Sliding Two Fingers Up
60413;Sliding Two Fingers Down
92478;Swiping Right
115494;Thumb Up
23608;Sliding Two Fingers Up
120293;Thumb Down
32023;Thumb Up
142300;Thumb Down
118292;Sliding Two Fingers Up
75220;Swiping Down
117989;Swiping Down
74835;Sliding Two Fingers Down
98682;Sliding Two Fingers Up
142705;Sliding Two Fingers Up
33161;Swiping Up
1760;Zooming Out With Two Fingers
59877;Sliding Two Fingers Down
5284;Zooming In With Two Fingers
67288;Drumming Fingers
19818;Swiping Right
54041;Sliding Two Fingers Down
38489;Sliding Two Fingers Left
66193;Thumb Up
9496;Drumming Fingers
19451;Sliding Two Fingers Right
40961;Swiping Up
35439;Zooming Out With Two Fingers
83568;Stop Sign
87984;Swiping Right
40792;No gesture
46929;Zooming Out With Two Fingers
110079;Swiping Down
114800;Stop Sign
86501;Swiping Up
41529;Thumb Down
36073;Swiping Right
59819;Stop Sign
92080;Zooming In With Two Fingers
116434;Zooming Out With Two Fingers
63478;Drumming Fingers
92129;Sliding Two Fingers Right
15660;Swiping Right
130661;Sliding Two Fingers Down
40033;Sliding Two Fingers Up
114756;Thumb Down
124859;Sliding Two Fingers Right
122790;Thumb Down
81649;Thumb Up
66884;Swiping Up
57543;Thumb Down
118371;Swiping Up
116013;Drumming Fingers
97694;Swiping Right
98863;Zooming Out With Two Fingers
122690;Drumming Fingers
67688;Thumb Down
129172;Stop Sign
18633;Sliding Two Fingers Right
131478;Swiping Down
106921;Swiping Up
110589;Zooming Out With Two Fingers
111254;No gesture
80940;Stop Sign
80398;Swiping Down
38484;Zooming Out With Two Fingers
56737;Swiping Right
124294;Drumming Fingers
34415;Stop Sign
84443;Sliding Two Fingers Left
72152;Thumb Down
134297;Stop Sign
27131;Stop Sign
81507;Drumming Fingers
50366;Zooming In With Two Fingers
125080;Thumb Up
114611;Thumb Up
76482;Swiping Right
99140;Sliding Two Fingers Up
54121;Zooming Out With Two Fingers
2301;No gesture
49491;Thumb Up
120672;Sliding Two Fingers Up
61973;Zooming In With Two Fingers
96907;Swiping Up
136491;Thumb Down
123349;No gesture
67145;Sliding Two Fingers Up
120016;No gesture
125382;Thumb Up
43340;Sliding Two Fingers Down
26778;No gesture
98324;Drumming Fingers
51752;Swiping Right
122831;No gesture
138613;Zooming In With Two Fingers
77739;Sliding Two Fingers Down
138188;No gesture
114443;Sliding Two Fingers Up
18703;Swiping Up
69836;Stop Sign
36590;Stop Sign
52367;Zooming Out With Two Fingers
136248;Sliding Two Fingers Up
52127;Swiping Up
22980;Zooming In With Two Fingers
98007;Swiping Up
140686;Thumb Up
5098;Sliding Two Fingers Right
131452;Sliding Two Fingers Up
70061;Zooming Out With Two Fingers
61827;Zooming In With Two Fingers
91132;Stop Sign
23668;Swiping Down
124483;Zooming In With Two Fingers
56434;Thumb Down
139068;Thumb Down
43495;Zooming Out With Two Fingers
33493;Zooming In With Two Fingers
37908;Zooming In With Two Fingers
35080;No gesture
46072;Swiping Down
90089;Drumming Fingers
110948;Stop Sign
131890;Zooming In With Two Fingers
59550;Thumb Down
11830;Swiping Down
77583;Swiping Right
86813;Stop Sign
16863;Zooming Out With Two Fingers
82482;Sliding Two Fingers Right
138814;Swiping Right
3316;Sliding Two Fingers Left
38901;Thumb Up
17090;Thumb Up
143612;Thumb Down
129358;Swiping Right
112557;Sliding Two Fingers Left
77140;Drumming Fingers
109446;Sliding Two Fingers Right
70990;Swiping Up
40774;Sliding Two Fingers Up
2059;Zooming In With Two Fingers
94583;Sliding Two Fingers Right
143911;Thumb Down
109433;Swiping Up
143254;Sliding Two Fingers Right
123577;Zooming In With Two Fingers
139403;Swiping Right
47931;Swiping Up
136826;Swiping Up
78145;Stop Sign
67961;Drumming Fingers
13156;Sliding Two Fingers Down
147697;Thumb Down
123193;Swiping Down
38722;Drumming Fingers
109921;Swiping Right
58071;Sliding Two Fingers Down
143101;Swiping Right
82561;Zooming In With Two Fingers
74953;Zooming In With Two Fingers
34790;Stop Sign
118347;Zooming Out With Two Fingers
97339;Sliding Two Fingers Up
26752;Zooming Out With Two Fingers
17477;Drumming Fingers
127754;Swiping Right
133416;Thumb Down
79088;Stop Sign
144563;Zooming Out With Two Fingers
9481;Sliding Two Fingers Right
54705;Zooming Out With Two Fingers
11101;Thumb Down
139604;Swiping Up
78341;Sliding Two Fingers Right
22945;Drumming Fingers
50424;Zooming In With Two Fingers
18582;Zooming In With Two Fingers
59615;Thumb Down
110045;Swiping Up
15957;Sliding Two Fingers Up
95617;Stop Sign
118006;No gesture
71793;Drumming Fingers
98772;Zooming Out With Two Fingers
19859;Swiping Up
122697;Thumb Up
129810;Swiping Down
87926;Swiping Right
12972;Zooming Out With Two Fingers
66869;Swiping Down
136951;Sliding Two Fingers Down
103596;Sliding Two Fingers Left
128279;Sliding Two Fingers Down
108425;Sliding Two Fingers Right
130628;Thumb Down
85982;Swiping Up
125134;Stop Sign
73065;Swiping Up
32965;Sliding Two Fingers Up
124131;Swiping Down
2499;Thumb Down
31100;Sliding Two Fingers Left
144532;Swiping Down
102514;No gesture
16828;Zooming Out With Two Fingers
109979;Drumming Fingers
121468;Sliding Two Fingers Down
76203;Thumb Up
31888;Sliding Two Fingers Down
44105;Sliding Two Fingers Up
100012;Sliding Two Fingers Left
35280;Zooming In With Two Fingers
54859;Thumb Up
138779;Swiping Right
27434;Swiping Right
103438;Zooming Out With Two Fingers
43582;Sliding Two Fingers Up
17278;No gesture
18220;Sliding Two Fingers Up
142784;Thumb Up
124835;Sliding Two Fingers Down
110774;Drumming Fingers
123627;Swiping Up
114710;Zooming Out With Two Fingers
99470;Sliding Two Fingers Down
83395;Swiping Right
128403;Sliding Two Fingers Right
93286;Thumb Up
82625;Sliding Two Fingers Up
